Id,Category
1,8
2,6
3,9
4,9
5,1
6,1
7,6
8,1
9,7
10,2
11,8
12,2
13,1
14,6
15,0
16,6
17,3
18,0
19,4
20,8
21,6
22,6
23,6
24,7
25,6
26,6
27,1
28,5
29,1
30,1
31,9
32,9
33,1
34,1
35,0
36,6
37,1
38,3
39,3
40,6
41,1
42,7
43,3
44,2
45,0
46,0
47,8
48,0
49,1
50,7
51,7
52,0
53,7
54,1
55,2
56,1
57,9
58,9
59,4
60,7
61,5
62,1
63,2
64,0
65,2
66,7
67,1
68,5
69,9
70,3
71,4
72,6
73,7
74,1
75,6
76,7
77,0
78,3
79,1
80,1
81,9
82,4
83,8
84,3
85,5
86,1
87,0
88,2
89,1
90,3
91,4
92,1
93,1
94,1
95,7
96,7
97,7
98,9
99,1
100,1
101,0
102,1
103,8
104,1
105,0
106,1
107,9
108,5
109,1
110,0
111,1
112,1
113,1
114,7
115,3
116,7
117,2
118,4
119,3
120,0
121,5
122,1
123,9
124,3
125,2
126,8
127,1
128,3
129,3
130,3
131,1
132,1
133,9
134,9
135,6
136,9
137,9
138,1
139,1
140,1
141,1
142,3
143,9
144,5
145,3
146,1
147,1
148,7
149,1
150,3
151,3
152,0
153,7
154,7
155,2
156,1
157,0
158,6
159,1
160,0
161,1
162,6
163,2
164,7
165,0
166,7
167,5
168,0
169,4
170,5
171,8
172,0
173,3
174,7
175,5
176,3
177,6
178,7
179,1
180,5
181,2
182,7
183,9
184,5
185,8
186,2
187,9
188,2
189,0
190,3
191,3
192,4
193,4
194,6
195,3
196,0
197,1
198,7
199,7
200,4
201,9
202,5
203,9
204,1
205,5
206,8
207,7
208,4
209,6
210,9
211,2
212,2
213,3
214,9
215,6
216,6
217,8
218,6
219,1
220,6
221,1
222,2
223,4
224,0
225,3
226,8
227,6
228,1
229,9
230,3
231,3
232,5
233,9
234,8
235,0
236,5
237,7
238,0
239,4
240,3
241,0
242,4
243,2
244,0
245,4
246,9
247,2
248,1
249,7
250,6
251,1
252,3
253,7
254,1
255,3
256,9
257,7
258,1
259,1
260,0
261,0
262,2
263,0
264,5
265,0
266,8
267,4
268,3
269,0
270,2
271,2
272,4
273,9
274,8
275,0
276,0
277,7
278,8
279,9
280,1
281,6
282,1
283,7
284,4
285,3
286,4
287,9
288,4
289,8
290,3
291,5
292,1
293,4
294,3
295,7
296,0
297,9
298,1
299,1
300,8
301,9
302,7
303,0
304,9
305,9
306,1
307,3
308,0
309,0
310,9
311,6
312,5
313,0
314,5
315,1
316,9
317,0
318,3
319,4
320,4
321,2
322,0
323,9
324,9
325,9
